ID,source,n_backbone_matches,MW,cLogP,HBD,HBA,TPSA,RotBonds
ABOMOT,CSD,10,1218.437,-0.233,8.0,18.0,445.98,12.0
ABUDUW,CSD,14,1403.937,2.264,8.0,16.0,369.88,21.0
ACTDGU10,CSD,8,1256.644,1.674,7.0,18.0,358.37,8.0
ACUMOC,CSD,9,1449.757,14.308,0.0,9.0,182.79,18.0
AENNIC10,CSD,7,875.058,-6.959,4.0,24.0,265.74,1.0
AHELEG,CSD,12,754.499,3.574,3.0,7.0,159.67,10.0
AJAGEX,CSD,8,114.043,-1.768,2.0,2.0,58.2,0.0
ALASAR,CSD,8,284.148,-2.12,1.0,4.0,90.03,0.0
ALAZOD,CSD,12,882.41,4.466,6.0,12.0,174.6,9.0
ALPRAL10,CSD,8,412.211,0.214,2.0,4.0,98.82,2.0
AMIFAE,CSD,11,1201.841,3.269,5.0,12.0,278.8,15.0
ANTAHC10,CSD,10,1146.59,2.52,6.0,10.0,255.84,9.0
ANUJUQ,CSD,10,747.432,0.715,7.0,8.0,198.07,8.0
ARECEI,CSD,8,1340.592,-3.957,10.0,22.0,438.02,8.0
ARESEW,CSD,13,1997.67,-10.265,26.0,32.0,730.62,19.0
ASIYIL,CSD,8,213.039,-1.527,1.0,5.0,96.02,0.0
ASOSAD,CSD,12,588.295,2.005,2.0,6.0,125.12,5.0
AYUQIV,CSD,9,1089.593,2.09,7.0,11.0,278.46,14.0
BAMANT10,CSD,8,903.343,-4.293,12.0,13.0,354.86,6.0
BASPOD,CSD,16,938.58,-4.833,10.0,12.0,368.34,20.0
BASPUJ,CSD,8,770.392,-8.938,10.0,12.0,368.34,12.0
BAZQAU,CSD,8,1417.952,2.605,7.0,16.0,361.09,21.0
BEHTEN,CSD,10,543.306,0.527,2.0,6.0,128.36,5.0
BEJMAI,CSD,8,854.375,-2.585,10.0,11.0,303.12,6.0
BEMVAS,CSD,7,865.474,2.694,4.0,8.0,188.77,9.0
BEPQOD,CSD,8,1055.638,-1.885,12.0,14.0,354.84,14.0
BIBWES,CSD,12,717.3,-1.898,7.0,11.0,215.99,1.0
BIHTUH,CSD,12,630.317,0.446,4.0,6.0,157.02,4.0
BIVJOG,CSD,12,1156.24,1.286,6.0,20.0,298.02,8.0
BIXPAZ10,CSD,12,634.348,0.749,6.0,6.0,174.6,8.0
BOBXAV,CSD,12,1228.343,6.269,2.0,20.0,217.44,9.0
BODHEH,CSD,12,1054.569,1.071,6.0,18.0,332.4,7.0
BODJEJ,CSD,12,1194.725,4.252,6.0,18.0,332.4,12.0
BOHFEJ,CSD,7,811.484,2.516,4.0,9.0,203.61,10.0
BOMQUT,CSD,9,1743.672,-3.073,19.0,29.0,618.65,22.0
BOQRUU,CSD,8,1584.733,3.92,16.0,24.0,481.68,16.0
BOQYEM,CSD,8,684.197,-4.409,4.0,16.0,121.74,0.0
BRAXGU,CSD,8,1334.555,2.437,7.0,18.0,358.37,8.0
CACNOJ10,CSD,8,744.36,-1.321,6.0,8.0,215.22,4.0
CACYEK,CSD,8,796.483,2.834,4.0,12.0,221.6,8.0
CAKROX,CSD,12,790.059,0.101,2.0,18.0,195.2,0.0
CAZFIS,CSD,8,932.37,-5.617,12.0,14.0,369.88,8.0
CAZFOY,CSD,8,948.365,-5.951,12.0,15.0,386.95,8.0
CAZSEB,CSD,8,672.36,-2.202,0.0,8.0,162.48,0.0
CAZXAD,CSD,8,1144.673,6.979,4.0,8.0,197.64,8.0
CAZXEH,CSD,8,840.547,2.088,4.0,8.0,197.64,0.0
CDSRCA10,CSD,8,142.074,-1.083,0.0,2.0,40.62,0.0
CEHXAO,CSD,9,358.055,-2.074,0.0,9.0,78.9,0.0
CESXIH10,CSD,8,1099.662,-3.247,4.0,20.0,210.4,0.0
CETSAW,CSD,16,664.347,2.288,2.0,8.0,151.42,8.0
CGDLLL10,CSD,12,566.379,0.356,6.0,6.0,174.6,8.0
CHPSAR,CSD,7,497.26,-3.791,0.0,7.0,142.17,0.0
CINLAQ,CSD,8,305.043,0.978,0.0,4.0,52.6,3.0
CIXJIE,CSD,8,610.959,1.918,2.0,6.0,67.4,2.0
CIYNEE,CSD,16,838.38,-1.555,9.0,10.0,282.89,6.0
COSARC10,CSD,8,568.297,-4.333,0.0,8.0,162.48,0.0
CUDTEC,CSD,9,1599.005,3.922,10.0,18.0,400.27,24.0
CUDYAC,CSD,8,1410.63,4.715,8.0,16.0,363.48,1.0
CUJHIY,CSD,12,1013.4,-3.636,11.0,20.0,340.85,11.0
CUKLED,CSD,8,398.069,2.74,0.0,5.0,52.6,2.0
CUQRUB,CSD,11,1243.852,3.84,4.0,13.0,284.87,16.0
CUQSAI,CSD,11,1321.762,4.215,4.0,13.0,284.87,17.0
CUQYUI,CSD,8,796.506,-1.136,10.0,10.0,273.26,10.0
CUSYUK,CSD,8,503.998,-4.051,3.0,13.0,165.89,0.0
CUZHIO,CSD,8,375.024,-1.605,0.0,10.0,105.2,0.0
CYDSAR,CSD,10,710.371,-5.416,0.0,10.0,203.1,0.0
DAGPAE,CSD,8,276.108,0.56,0.0,4.0,138.14,2.0
DASXIE,CSD,8,744.36,-1.321,6.0,8.0,215.22,4.0
DAXRAZ,CSD,8,1388.676,1.836,9.0,20.0,399.5,8.0
DEKSAN,CSD,11,1201.841,3.269,5.0,12.0,278.8,15.0
DETWUU,CSD,8,632.281,0.09,3.0,10.0,208.8,4.0
DEWFEQ,CSD,12,1012.571,-3.008,8.0,12.0,314.04,4.0
DEWPOK,CSD,8,1073.908,-1.339,0.0,26.0,252.72,0.0
DOCBEG,CSD,8,2156.41,-14.659,4.0,44.0,452.52,0.0
DOMZOW,CSD,8,1118.652,5.338,0.0,16.0,211.38,14.0
DONQUU,CSD,8,532.095,0.759,6.0,8.0,192.6,8.0
DOQKOJ,CSD,8,2564.331,-4.491,0.0,56.0,585.04,0.0
