CSD_ID,n_backbone_matches,SMILES
ABOMOT,10,[H]O[H].[H]c1c([H])c(C([H])([H])[C@@]2([H])C(=O)N([H])[C@@]([H])(C([H])([H])[H])C(=O)N([H])[C@@]([H])(C([H])([H])c3c([H])c([H])c([N+](=O)[O-])c([H])c3[H])C(=O)N3C([H])([H])C([H])([H])C([H])([H])[C@]3([H])C(=O)N([H])C([H])([H])C(=O)N([H])[C@@]([H])(C([H])([H])c3c([H])c([H])c([N+](=O)[O-])c([H])c3[H])C(=O)N([H])[C@@]([H])(C([H])([H])[H])C(=O)N([H])[C@@]([H])(C([H])([H])c3c([H])c([H])c([N+](=O)[O-])c([H])c3[H])C(=O)N3C([H])([H])C([H])([H])C([H])([H])[C@]3([H])C(=O)N([H])C([H])([H])C(=O)N2[H])c([H])c([H])c1[N+](=O)[O-]
ABOMOT,10,[H]O[H].[H]c1c([H])c(C([H])([H])[C@@]2([H])C(=O)N([H])[C@@]([H])(C([H])([H])[H])C(=O)N([H])[C@@]([H])(C([H])([H])c3c([H])c([H])c([N+](=O)[O-])c([H])c3[H])C(=O)N3C([H])([H])C([H])([H])C([H])([H])[C@]3([H])C(=O)N([H])C([H])([H])C(=O)N([H])[C@@]([H])(C([H])([H])c3c([H])c([H])c([N+](=O)[O-])c([H])c3[H])C(=O)N([H])[C@@]([H])(C([H])([H])[H])C(=O)N([H])[C@@]([H])(C([H])([H])c3c([H])c([H])c([N+](=O)[O-])c([H])c3[H])C(=O)N3C([H])([H])C([H])([H])C([H])([H])[C@]3([H])C(=O)N([H])C([H])([H])C(=O)N2[H])c([H])c([H])c1[N+](=O)[O-]
ABOMOT,10,[H]O[H].[H]c1c([H])c(C([H])([H])[C@@]2([H])C(=O)N([H])[C@@]([H])(C([H])([H])[H])C(=O)N([H])[C@@]([H])(C([H])([H])c3c([H])c([H])c([N+](=O)[O-])c([H])c3[H])C(=O)N3C([H])([H])C([H])([H])C([H])([H])[C@]3([H])C(=O)N([H])C([H])([H])C(=O)N([H])[C@@]([H])(C([H])([H])c3c([H])c([H])c([N+](=O)[O-])c([H])c3[H])C(=O)N([H])[C@@]([H])(C([H])([H])[H])C(=O)N([H])[C@@]([H])(C([H])([H])c3c([H])c([H])c([N+](=O)[O-])c([H])c3[H])C(=O)N3C([H])([H])C([H])([H])C([H])([H])[C@]3([H])C(=O)N([H])C([H])([H])C(=O)N2[H])c([H])c([H])c1[N+](=O)[O-]
ABOMOT,10,[H]O[H].[H]c1c([H])c(C([H])([H])[C@@]2([H])C(=O)N([H])[C@@]([H])(C([H])([H])[H])C(=O)N([H])[C@@]([H])(C([H])([H])c3c([H])c([H])c([N+](=O)[O-])c([H])c3[H])C(=O)N3C([H])([H])C([H])([H])C([H])([H])[C@]3([H])C(=O)N([H])C([H])([H])C(=O)N([H])[C@@]([H])(C([H])([H])c3c([H])c([H])c([N+](=O)[O-])c([H])c3[H])C(=O)N([H])[C@@]([H])(C([H])([H])[H])C(=O)N([H])[C@@]([H])(C([H])([H])c3c([H])c([H])c([N+](=O)[O-])c([H])c3[H])C(=O)N3C([H])([H])C([H])([H])C([H])([H])[C@]3([H])C(=O)N([H])C([H])([H])C(=O)N2[H])c([H])c([H])c1[N+](=O)[O-]
ABOMOT,10,[H]O[H].[H]c1c([H])c(C([H])([H])[C@@]2([H])C(=O)N([H])[C@@]([H])(C([H])([H])[H])C(=O)N([H])[C@@]([H])(C([H])([H])c3c([H])c([H])c([N+](=O)[O-])c([H])c3[H])C(=O)N3C([H])([H])C([H])([H])C([H])([H])[C@]3([H])C(=O)N([H])C([H])([H])C(=O)N([H])[C@@]([H])(C([H])([H])c3c([H])c([H])c([N+](=O)[O-])c([H])c3[H])C(=O)N([H])[C@@]([H])(C([H])([H])[H])C(=O)N([H])[C@@]([H])(C([H])([H])c3c([H])c([H])c([N+](=O)[O-])c([H])c3[H])C(=O)N3C([H])([H])C([H])([H])C([H])([H])[C@]3([H])C(=O)N([H])C([H])([H])C(=O)N2[H])c([H])c([H])c1[N+](=O)[O-]
ABOMOT,10,[H]O[H].[H]c1c([H])c(C([H])([H])[C@@]2([H])C(=O)N([H])[C@@]([H])(C([H])([H])[H])C(=O)N([H])[C@@]([H])(C([H])([H])c3c([H])c([H])c([N+](=O)[O-])c([H])c3[H])C(=O)N3C([H])([H])C([H])([H])C([H])([H])[C@]3([H])C(=O)N([H])C([H])([H])C(=O)N([H])[C@@]([H])(C([H])([H])c3c([H])c([H])c([N+](=O)[O-])c([H])c3[H])C(=O)N([H])[C@@]([H])(C([H])([H])[H])C(=O)N([H])[C@@]([H])(C([H])([H])c3c([H])c([H])c([N+](=O)[O-])c([H])c3[H])C(=O)N3C([H])([H])C([H])([H])C([H])([H])[C@]3([H])C(=O)N([H])C([H])([H])C(=O)N2[H])c([H])c([H])c1[N+](=O)[O-]
ABOMOT,10,[H]O[H].[H]c1c([H])c(C([H])([H])[C@@]2([H])C(=O)N([H])[C@@]([H])(C([H])([H])[H])C(=O)N([H])[C@@]([H])(C([H])([H])c3c([H])c([H])c([N+](=O)[O-])c([H])c3[H])C(=O)N3C([H])([H])C([H])([H])C([H])([H])[C@]3([H])C(=O)N([H])C([H])([H])C(=O)N([H])[C@@]([H])(C([H])([H])c3c([H])c([H])c([N+](=O)[O-])c([H])c3[H])C(=O)N([H])[C@@]([H])(C([H])([H])[H])C(=O)N([H])[C@@]([H])(C([H])([H])c3c([H])c([H])c([N+](=O)[O-])c([H])c3[H])C(=O)N3C([H])([H])C([H])([H])C([H])([H])[C@]3([H])C(=O)N([H])C([H])([H])C(=O)N2[H])c([H])c([H])c1[N+](=O)[O-]
ABOMOT,10,[H]O[H].[H]c1c([H])c(C([H])([H])[C@@]2([H])C(=O)N([H])[C@@]([H])(C([H])([H])[H])C(=O)N([H])[C@@]([H])(C([H])([H])c3c([H])c([H])c([N+](=O)[O-])c([H])c3[H])C(=O)N3C([H])([H])C([H])([H])C([H])([H])[C@]3([H])C(=O)N([H])C([H])([H])C(=O)N([H])[C@@]([H])(C([H])([H])c3c([H])c([H])c([N+](=O)[O-])c([H])c3[H])C(=O)N([H])[C@@]([H])(C([H])([H])[H])C(=O)N([H])[C@@]([H])(C([H])([H])c3c([H])c([H])c([N+](=O)[O-])c([H])c3[H])C(=O)N3C([H])([H])C([H])([H])C([H])([H])[C@]3([H])C(=O)N([H])C([H])([H])C(=O)N2[H])c([H])c([H])c1[N+](=O)[O-]
ABOMOT,10,[H]O[H].[H]c1c([H])c(C([H])([H])[C@@]2([H])C(=O)N([H])[C@@]([H])(C([H])([H])[H])C(=O)N([H])[C@@]([H])(C([H])([H])c3c([H])c([H])c([N+](=O)[O-])c([H])c3[H])C(=O)N3C([H])([H])C([H])([H])C([H])([H])[C@]3([H])C(=O)N([H])C([H])([H])C(=O)N([H])[C@@]([H])(C([H])([H])c3c([H])c([H])c([N+](=O)[O-])c([H])c3[H])C(=O)N([H])[C@@]([H])(C([H])([H])[H])C(=O)N([H])[C@@]([H])(C([H])([H])c3c([H])c([H])c([N+](=O)[O-])c([H])c3[H])C(=O)N3C([H])([H])C([H])([H])C([H])([H])[C@]3([H])C(=O)N([H])C([H])([H])C(=O)N2[H])c([H])c([H])c1[N+](=O)[O-]
ABOMOT,10,[H]O[H].[H]c1c([H])c(C([H])([H])[C@@]2([H])C(=O)N([H])[C@@]([H])(C([H])([H])[H])C(=O)N([H])[C@@]([H])(C([H])([H])c3c([H])c([H])c([N+](=O)[O-])c([H])c3[H])C(=O)N3C([H])([H])C([H])([H])C([H])([H])[C@]3([H])C(=O)N([H])C([H])([H])C(=O)N([H])[C@@]([H])(C([H])([H])c3c([H])c([H])c([N+](=O)[O-])c([H])c3[H])C(=O)N([H])[C@@]([H])(C([H])([H])[H])C(=O)N([H])[C@@]([H])(C([H])([H])c3c([H])c([H])c([N+](=O)[O-])c([H])c3[H])C(=O)N3C([H])([H])C([H])([H])C([H])([H])[C@]3([H])C(=O)N([H])C([H])([H])C(=O)N2[H])c([H])c([H])c1[N+](=O)[O-]
