,row_index,n_backbone_matches,canon_smiles
0,44,9,[H]/N=C(\N)NCCC[C@@H]1NC(=O)[C@@H](Cc2cnc[nH]2)NC(=O)[C@H](C)NC(=O)CNC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@H](CC(=O)O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@](C)(c2csc3ccccc23)NC(=O)[C@H](C(C)C)NC(=O)[C@@H](NC(=O)[C@@H](NC(C)=O)[C@@H](C)CC)CSSC[C@@H](C(=O)N[C@H](C(=O)O)[C@@H](C)O)NC1=O
1,120,9,[H]/N=C(\N)NCCC[C@@H]1NC(=O)[C@@H](Cc2cnc[nH]2)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)CNC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@H](CC(=O)O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](C(C)C)NC(=O)[C@@H](NC(=O)[C@@H](NC(C)=O)[C@@H](C)CC)CSSC[C@@H](C(=O)N[C@H](C(N)=O)[C@@H](C)O)NC1=O
2,287,11,C[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(N)=O)NC(=O)[C@@H]2CSSC[C@H](N)C(=O)N[C@H]3CSSC[C@H](NC1=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)NCC(=O)N[C@H](C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O)CSSC[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CCC(=O)O)NC3=O)C(=O)N2
3,408,14,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@@H]2CCCN2C(=O)[C@H]2CCCN2C(=O)[C@H](CO)NC(=O)[C@H](C)NC(=O)[C@H](CCN)NC(=O)[C@H](CCN)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CCN)NC(=O)[C@@H](CCN)NC(=O)[C@H](CCCN)NC(=O)[C@H](CCN)NC1=O
4,413,7,CC(=NO)C(C)(C)NCCC(CCNC(=O)CCCC(=O)NCCCC[C@@H]1NC(=O)CSC[C@@H](C(=O)NCCOCCOCCOCCNC(=O)COCC(N)=O)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CSSC[C@H](NC1=O)C(=O)N[C@@H](CCCN=C(N)N)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N2)CCNC(C)(C)C(C)=NO
5,464,11,CC[C@@H]1NC(=O)[C@H]([C@H](O)[C@H](C)C/C=C/c2ccccc2C)N(C)C(=O)[C@H](C(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](CC(C)C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)N(C)C(=O)[C@H](C(C)C)NC(=O)[C@H](CC(C)C)N(C)C(=O)CN(C)C1=O
6,670,10,CC(O)[C@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](C(C)O)NC(=O)[C@@H](CCCCN)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@H](C)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](CC(N)=O)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](NC(=O)CNC(=O)[C@H](C)N)CSSC[C@@H](C(N)=O)NC(=O)[C@H](CO)NC1=O
7,1057,13,[H]/N=C(\N)NCCC[C@@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@H](CC(=O)O)NC(=O)[C@H](CO)NC(=O)[C@@H]2CSSC[C@@H](C(N)=O)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H]3CCCN3C(=O)[C@H](Cc3c[nH]cn3)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CSSC[C@H](NC(=O)CN)C(=O)N2)NC1=O
8,1168,13,CC(C)C[C@@H]1NC(=O)[C@H](CO)NC(=O)[C@@H]2CSSC[C@@H](C(N)=O)NC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)[C@H](CC(=O)O)NC(=O)[C@@H]3CCCN3C(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CSSC[C@H](NC(=O)CN)C(=O)N2)NC(=O)[C@@H]2CCCN2C(=O)[C@@H]2CCCN2C1=O
9,1306,8,[H]/N=C(\N)NCCCC1NC(=O)CNC(=O)C(C(C)C)NC(=O)C(CCSC)NC(=O)C(NC(=O)C(CCCN/C(N)=N/[H])NC(=O)C(CCSC)NC(=O)C(NC(=O)C(N)CC(=O)O)C(C)O)CSSCC(C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)NC(CCC(=O)O)C(=O)NC(C(=O)O)C(C)C)NC(=O)C2CCCN2C(=O)C(CCCN/C(N)=N/[H])NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(C(C)C)NC1=O
10,1836,9,CC(C)NCc1ccc(C[C@@H]2NC(=O)[C@H](Cc3ccc4ccccc4c3)NC(=O)[C@H](Cc3ccccc3)NC(=O)[C@@H](Cc3ccccc3)NC(=O)[C@@H](CCCCN)NC(=O)[C@H](N)CSSC[C@@H](C(=O)O)NC(=O)[C@H](CO)N(C)C(=O)[C@@H]([C@@H](C)O)NC(=O)[C@H](Cc3ccccc3)NC(=O)[C@@H]([C@@H](C)O)NC2=O)cc1
11,1995,13,C=C(NC(=O)C(NC(=O)C(Cc1cnc[nH]1)NC(=O)C(NC(=O)C(CO)NC(=O)C1CSC(C)C2NC(=O)C(C)NC(=O)C(NC(=O)C(CCCCN)NC(=O)C(CCSC)NC(=O)C(CC(N)=O)NC(=O)C3CSC(C)C(NC(=O)C(CCCCN)NC(=O)C4CSC(C)C(NC(=O)C5CSCC(NC(=O)/C(=C/C)NC(=O)C(N)C(C)CC)C(=O)NC(C(C)CC)C(=O)NC(=C)C(=O)NC(CC(C)C)C(=O)N5)C(=O)N5CCCC5C(=O)NCC(=O)N4)C(=O)NCC(=O)NC(C)C(=O)NC(CC(C)C)C(=O)NC(CCSC)C(=O)NCC(=O)N3)C(C)SCC(NC2=O)C(=O)NC(Cc2cnc[nH]2)C(=O)N1)C(C)CC)C(C)C)C(=O)NC(CCCCN)C(=O)O
12,2014,9,CC[C@H](C)[C@H]1C(=O)NCC(=O)N(C)[C@@H](C(C)C)C(=O)N[C@@H](Cc2ccc(OC)cc2)C(=O)O[C@@H](C)C(=O)N2CCCC[C@H]2C(=O)N(C)[C@@H](C(C)C)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(=O)OC(C)(C)C)C(=O)N(C)[C@@H]([C@@H](C)CC)C(=O)N1C
13,2074,9,CC[C@H](C)[C@H](NC(C)=O)C(=O)N[C@H]1CSSC[C@@H](C(=O)N[C@H](C(N)=O)[C@@H](C)O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc2c[nH]cn2)NC(=O)[C@H](C)NC(=O)CNC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](Cc2cn(C)c3ccccc23)NC(=O)[C@H](C(C)C)NC1=O
14,2358,14,[H]/N=C(\N)NCCC[C@@H]1NC(=O)[C@@H]2CSSC[C@H](N)C(=O)N[C@H]3CSSC[C@H](NC(=O)[C@H](CCCN/C(N)=N/[H])NC(=O)[C@H](CO)NC(=O)[C@H](Cc4cnc[nH]4)NC(=O)[C@H](C)NC1=O)C(=O)N[C@H](C(N)=O)CSSC[C@H](NC(=O)[C@@H](CC(N)=O)NC3=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1c[nH]c3ccccc13)C(=O)N2
15,2398,9,[H]/N=C(\N)NCCC[C@@H]1NC(=O)[C@@H](Cc2cnc[nH]2)NC(=O)[C@H](C)NC(=O)CNC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@H](CC(=O)O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@](C)(c2csc3ccccc23)NC(=O)[C@H](C(C)C)NC(=O)[C@@H](NC(=O)[C@@H](NC(C)=O)[C@@H](C)CC)CSSC[C@@H](C(=O)N[C@H](C(N)=O)[C@@H](C)O)NC1=O
16,2449,9,[H]/N=C(\N)NCCC[C@@H]1NC(=O)[C@@H](Cc2cnc[nH]2)NC(=O)[C@H](C)NC(=O)CNC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)C(CC(=O)O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](Cc2ccc(C(=O)c3ccccc3)cc2)NC(=O)[C@H](C(C)C)NC(=O)[C@@H](NC(=O)[C@@H](NC(C)=O)[C@@H](C)CC)CSSC[C@@H](C(=O)N[C@H](C(=O)O)[C@@H](C)O)NC1=O
17,2531,9,[H]/N=C(\N)NCCC[C@H]1NC(=O)[C@H](Cc2cnc[nH]2)NC(=O)C(CC)NC(=O)CNC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@H](CC(=O)O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](C(C)C)NC(=O)[C@@H](NC(=O)[C@@H](NC(C)=O)[C@@H](C)CC)CSSC[C@H](C(=O)N[C@H](C(=O)O)[C@@H](C)O)NC1=O
18,2611,11,C/C=C/C[C@@H](C)[C@@H](O)[C@H]1C(=O)N[C@@H](CC)C(=O)N(C)[C@H](SCCN(C)C)C(=O)N(C)[C@@H](CC(C)(C)O)C(=O)N[C@@H](C(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](CC(C)C)C(=O)N(C)[C@@H](C(C)C)C(=O)N1C
19,3013,10,CC[C@H](C)[C@@H]1NC(=O)[C@H](CCCNC(=N)N)NC(=O)CNC(=O)CNC(=O)[C@H](CC2CCCCC2)NC(=O)[C@@H](NC(=O)[C@@H](N)CCCNC(=N)N)CSSC[C@@H](C(N)=O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(=O)O)NC1=O
20,3022,7,CC(C)NCc1ccc(C[C@@H]2NC(=O)[C@H](Cc3c[nH]c4ccccc34)NC(=O)[C@H](Cc3ccccc3)NC(=O)[C@@H](Cc3ccccc3)NC(=O)[C@@H](CCCCN)NC(=O)[C@H](N)CSSC[C@@H](C(=O)O)NC(=O)[C@H](Cc3ccccc3)NC(=O)[C@@H]([C@@H](C)O)NC2=O)cc1
21,3058,7,CC(C)C[C@@H]1NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)CC[C@@H](C(N)=O)NC(=O)[C@H](CCC(=O)O)NC1=O
22,3080,9,C[C@@H](O)[C@H]1NC(=O)[C@H](Cc2ccc(O)cc2)NC(=O)[C@@H]([C@@H](C)O)NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@@H](CCCCN)NC(=O)[C@H](N)CSSC[C@@H](C(=O)O)NC(=O)[C@H](CO)NC1=O
23,3390,15,[H]/N=C(\N)NCCCC1NC(=O)C(CCCCN)NC(=O)C2CSSCC(NC(=O)C(C(C)CC)NC(=O)C(CC3C=NC=N3)NC(=O)C3CCCN3C(=O)C(CCCCN)NC(=O)C(C(C)CC)NC(=O)C(C(C)C)NC(=O)C(CC3C=NC=N3)NC1=O)C(=O)NC(CCCN/C(N)=N/[H])C(=O)NC(CCCCN)C(=O)NC(C(C)CC)C(=O)NC(C(=O)NCC(=O)NC(CCCCN)C(=O)NC(CC(N)=O)C(N)=O)CSSCC(NC(=O)C(CCCCN)NC(=O)C(N)C(C)CC)C(=O)NC(CC(N)=O)C(=O)N2
24,3621,7,C[C@@H]1NC(=O)[C@H]([C@@H](C)O)NC(=O)CNC(=O)[C@H](Cc2cnc[nH]2)NC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)CC(C(N)=O)NC(=O)CNC(=O)C[C@@H](C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)O)NC(=O)[C@@H]2CCCN2C1=O
25,3765,9,CC(C)NCc1ccc(C[C@@H]2NC(=O)[C@H](Cc3ccc4ccccc4c3)NC(=O)[C@H](Cc3ccccc3)NC(=O)[C@@H](Cc3ccccc3)NC(=O)[C@@H](CCCCN)NC(=O)[C@H](N)CSSC[C@@H](C(=O)O)NC(=O)[C@H](CO)NC(=O)[C@@H]([C@@H](C)O)N(C)C(=O)[C@H](Cc3ccccc3)NC(=O)[C@@H]([C@@H](C)O)NC2=O)cc1
26,4214,15,CC(C)C/C=C/C=C\C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H]1C(=O)N[C@H](c2ccc(O)cc2)C(=O)N[C@H](CCCN)C(=O)N[C@H]([C@@H](C)O)C(=O)N[C@@H](c2ccc(O)cc2)C(=O)N[C@H](c2ccc(O)cc2)C(=O)N[C@@H]([C@H](C)O)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@H](CCCN)C(=O)N[C@@H](c2ccc(O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)cc2)C(=O)N[C@H]([C@@H](C)O)C(=O)N[C@@H](c2ccc(O)cc2)C(=O)NCC(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C)C(=O)N[C@@H](c2ccc(O)c(Cl)c2)C(=O)O[C@@H]1C(N)=O
27,4302,9,CCCCCc1ccc(/C(C)=C/C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H]2C(=O)NCC(=O)N[C@@H](CCCN)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H](C)C(=O)N[C@@H](CC(=O)O)C(=O)NCC(=O)N[C@H](CO)C(=O)N[C@@H]([C@H](C)CC(=O)O)C(=O)N[C@@H](CC(=O)c3ccccc3N)C(=O)O[C@@H]2C)cc1
28,4455,9,CC[C@H](C)[C@H](NC(C)=O)C(=O)N[C@H]1CSSC[C@@H](C(=O)N[C@H](C(N)=O)[C@@H](C)O)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@@H](Cc2cnc[nH]2)NC(=O)[C@H](C)NC(=O)CNC(=O)[C@H](Cc2c[nH]c3ccccc23)NC(=O)[C@@H](CC(=O)O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](C(C)C)NC(=O)[C@H](C(C)C)NC1=O
29,4481,9,CC(C)NCc1ccc(C[C@@H]2NC(=O)[C@H](Cc3ccc4ccccc4c3)N(C)C(=O)[C@H](Cc3ccccc3)NC(=O)[C@@H](Cc3ccccc3)NC(=O)[C@@H](CCCCN)NC(=O)[C@H](N)CSSC[C@@H](C(=O)O)NC(=O)[C@H](CO)NC(=O)[C@@H]([C@@H](C)O)NC(=O)[C@H](Cc3ccccc3)NC(=O)[C@@H]([C@@H](C)O)NC2=O)cc1
30,4587,9,CC(C)NCc1ccc(C[C@H]2C(=O)N[C@H]([C@@H](C)O)C(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)N[C@H]([C@@H](C)O)C(=O)N[C@@H](CO)C(=O)N[C@H](C(=O)O)CSSC[C@@H](N)C(=O)N[C@H](CCCCN)C(=O)N[C@H](Cc3ccccc3)C(=O)N[C@@H](Cc3ccccc3)C(=O)N[C@@H](Cc3ccc4ccccc4c3)C(=O)N2C)cc1
31,4593,15,[H]/N=C(\N)NCCC[C@@H]1NC(=O)CNC(=O)CNC(=O)[C@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@H](CCCN/C(N)=N/[H])NC(=O)[C@H](CCCN/C(N)=N/[H])NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](N)CO)CSSC[C@@H](C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCCN/C(N)=N/[H])C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)O)NC(=O)CNC(=O)[C@H](CC(C)C)NC(=O)CNC(=O)[C@H](CO)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](C)NC(=O)CNC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](CCCN/C(N)=N/[H])NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCSC)NC1=O
